745:1148=0.5992029905319214,1223=0.5413356423377991,3429=0.38103318214416504,720=0.37090641260147095,3751=0.34382861852645874,1=0.3146859109401703,34=0.2865288257598877,1265=0.27697211503982544,608=0.27642014622688293,1136=0.27361539006233215
2294:364=0.4155348837375641,1907=0.4008552134037018,595=0.3816034197807312,2355=0.37681156396865845,588=0.37394386529922485,2018=0.34158089756965637,783=0.3407517969608307,1=0.339883953332901,2081=0.33974435925483704,2139=0.3350006341934204
48:783=0.446321964263916,1566=0.4066200256347656,595=0.3906259834766388,1688=0.3876143991947174,364=0.37972259521484375,2081=0.3615362346172333,588=0.35879063606262207,1907=0.3528869152069092,1022=0.3457806706428528,594=0.32676249742507935
527:318=0.5233345031738281,2028=0.5094999074935913,608=0.5021964907646179,593=0.48242485523223877,296=0.47101861238479614,2858=0.4544750452041626,1213=0.4460678994655609,1704=0.44024863839149475,1617=0.4385436475276947,1196=0.4325838088989258
2321:1265=0.44986993074417114,39=0.42881128191947937,1923=0.4276104271411896,1784=0.42393699288368225,1641=0.41778796911239624,440=0.41474586725234985,1500=0.40807968378067017,3253=0.4075128734111786,356=0.40681833028793335,3255=0.40536099672317505
150:1704=0.4403177499771118,2268=0.43745970726013184,590=0.41491222381591797,1682=0.41429418325424194,1393=0.4113383889198303,318=0.4048958122730255,1784=0.40141263604164124,527=0.39199116826057434,457=0.3863740861415863,356=0.38103416562080383
608:296=0.5850051641464233,593=0.5523029565811157,50=0.5475965738296509,1213=0.5323939323425293,1617=0.5306249856948853,318=0.5252779126167297,2858=0.5161555409431458,1089=0.506173312664032,527=0.5021964907646179,1358=0.48005440831184387
1193:858=0.43455109000205994,608=0.4168274700641632,111=0.41501814126968384,318=0.4082016050815582,1247=0.4079577326774597,593=0.40737029910087585,1225=0.4062189757823944,527=0.4014211595058441,1221=0.39589765667915344,1208=0.39537379145622253
1035:1947=0.43528279662132263,1028=0.430584192276001,914=0.41626083850860596,2565=0.3971344828605652,1282=0.39040467143058777,594=0.3836895823478699,919=0.37756091356277466,2080=0.3760349452495575,1380=0.36112111806869507,1088=0.3606395423412323
1:3114=0.5134255290031433,1265=0.5002243518829346,588=0.4783467650413513,2355=0.47445687651634216,34=0.4564668536186218,1270=0.45517218112945557,1196=0.4437040090560913,1580=0.4376593232154846,595=0.4365079700946808,2571=0.4362942576408386
2918:1968=0.5061789751052856,1079=0.5051978826522827,1270=0.5013725161552429,1307=0.48681333661079407,2797=0.48668667674064636,3210=0.48614609241485596,2716=0.4780120253562927,1394=0.47745227813720703,2791=0.46469324827194214,3552=0.4557313024997711
914:1947=0.49850156903266907,2565=0.42086657881736755,899=0.4170592427253723,1035=0.41626086831092834,2080=0.3855859637260437,919=0.38128185272216797,1028=0.3803853988647461,900=0.37670406699180603,594=0.36311575770378113,938=0.35838738083839417
3114:1=0.5134255290031433,2355=0.44570913910865784,34=0.3915044665336609,1265=0.384632408618927,2396=0.37551310658454895,1580=0.37020158767700195,2716=0.3679499924182892,588=0.3677380383014679,2987=0.36711642146110535,1270=0.3669750392436981
720:1148=0.388726145029068,745=0.37090641260147095,1223=0.3215738832950592,3751=0.2672962248325348,1=0.26291623711586,3429=0.2536187767982483,1199=0.2519114017486572,296=0.24011285603046417,2997=0.2350427806377411,3114=0.23461972177028656
3105:1704=0.3907034397125244,150=0.3675757348537445,1393=0.36461207270622253,1682=0.34891626238822937,508=0.3474731147289276,300=0.34658485651016235,1246=0.344760924577713,2268=0.3438263535499573,318=0.3433971703052521,3100=0.34245312213897705
3735:3362=0.3509063720703125,1263=0.3367323577404022,1953=0.3364405333995819,1221=0.331043541431427,1084=0.32486692070961,111=0.3222164511680603,1228=0.3218863904476166,1952=0.3194796144962311,3068=0.31526312232017517,1208=0.31475138664245605
2396:2858=0.4869441092014313,1265=0.47712936997413635,2997=0.4406791925430298,608=0.4356720745563507,357=0.42458435893058777,2762=0.42354628443717957,1=0.4175413250923157,1197=0.41531461477279663,1617=0.4100983142852783,2599=0.40935471653938293
1247:1952=0.4450601041316986,912=0.43260782957077026,1207=0.4306389391422272,923=0.42421114444732666,919=0.42030206322669983,1225=0.4201377332210541,858=0.4128093719482422,1193=0.4079577326774597,904=0.3927755653858185,908=0.39069926738739014
1873:73=0.31364914774894714,318=0.21871989965438843,150=0.2061256319284439,527=0.19874994456768036,62=0.19421111047267914,2324=0.19328971207141876,2501=0.19102595746517181,529=0.18932579457759857,1682=0.18853645026683807,1619=0.18755829334259033
1210:1196=0.619954526424408,260=0.5770432949066162,1198=0.5276660919189453,1240=0.5269637107849121,1291=0.5198531150817871,1270=0.5194740891456604,2571=0.5186583399772644,589=0.5151780247688293,1580=0.5027191042900085,1374=0.4968269169330597
1198:1291=0.5862064957618713,1196=0.579052746295929,260=0.5702437162399292,1210=0.5276660919189453,1240=0.5266756415367126,1036=0.5205104351043701,1197=0.4968454837799072,2571=0.4945654273033142,1270=0.4929569363594055,1214=0.484455406665802
1597:1608=0.4383440613746643,733=0.43343135714530945,165=0.4192720651626587,377=0.4157997667789459,380=0.4110034108161926,349=0.4105148911476135,1370=0.404477596282959,2353=0.4013619124889374,292=0.4008801281452179,95=0.39611631631851196
2236:2501=0.23115399479866028,524=0.22193151712417603,508=0.217853844165802,62=0.21620739996433258,1682=0.2119828164577484,3100=0.21090172231197357,802=0.2088295966386795,3255=0.2059994339942932,2268=0.20536622405052185,500=0.20136012136936188
2858:2997=0.5406801104545593,608=0.5161555409431458,296=0.4946087598800659,2396=0.4869440793991089,593=0.48671260476112366,318=0.4843180775642395,2762=0.48426151275634766,1617=0.47391900420188904,2028=0.4579857587814331,1265=0.4556322395801544
1265:1=0.5002243518829346,356=0.4965769052505493,2396=0.47712936997413635,1307=0.4702596068382263,1270=0.4699261784553528,1923=0.4693774878978729,39=0.4693222641944885,608=0.4630582332611084,357=0.4602147042751312,2858=0.4556322693824768
1968:2918=0.5061790347099304,2144=0.47132426500320435,3448=0.4531445801258087,1259=0.4480142891407013,2797=0.4475768506526947,3526=0.4441479742527008,1270=0.4437803328037262,3210=0.44122523069381714,2716=0.43937188386917114,2174=0.4392007887363434
1537:1188=0.2700514793395996,1446=0.2571544349193573,2359=0.24609041213989258,348=0.2356906533241272,2289=0.23417480289936066,1449=0.23279668390750885,1265=0.2304067611694336,232=0.22905908524990082,1734=0.22732192277908325,357=0.22603604197502136
459:1687=0.2681218385696411,315=0.2578636705875397,694=0.24621576070785522,1385=0.2449500858783722,1616=0.24461762607097626,1382=0.24272337555885315,20=0.24233292043209076,204=0.2409145087003708,3274=0.24048256874084473,1497=0.23910187184810638
1442:1872=0.2162874937057495,1364=0.21358941495418549,666=0.20096291601657867,874=0.19690072536468506,2945=0.1968066692352295,2231=0.1882178783416748,997=0.18756894767284393,465=0.1829882711172104,113=0.17862845957279205,3848=0.17788399755954742
920:912=0.4345239996910095,969=0.4029988944530487,919=0.4018842875957489,1247=0.3817290663719177,2067=0.3812611699104309,899=0.3778458833694458,1947=0.359809547662735,914=0.3552403151988983,1094=0.3452011048793793,1674=0.3363809883594513
3893:3897=0.415798157453537,3911=0.380088746547699,3948=0.35269787907600403,3317=0.3473115563392639,3952=0.32143688201904297,3863=0.3141295313835144,3481=0.3071438670158386,3949=0.3041485548019409,3751=0.2693134546279907,3408=0.26170453429222107
1953:1221=0.42574450373649597,858=0.4223295748233795,1252=0.41575130820274353,1304=0.4094933867454529,1954=0.3838875889778137,1234=0.3757912516593933,2944=0.3733283579349518,1276=0.36869001388549805,3362=0.368533194065094,2947=0.3682178258895874
1834:1635=0.3350710868835449,608=0.3324357867240906,2391=0.3321056067943573,994=0.3291570544242859,800=0.3264261484146118,1095=0.3220686614513397,1729=0.3200048506259918,3006=0.31941449642181396,300=0.3192034363746643,1673=0.3135020434856415
2268:1393=0.45286619663238525,150=0.43745970726013184,1704=0.43422046303749084,1213=0.42346420884132385,318=0.4201280474662781,590=0.4146193861961365,457=0.41379526257514954,296=0.4116577208042145,608=0.40476229786872864,161=0.4031014144420624
110:2028=0.5163746476173401,589=0.49222105741500854,480=0.48939257860183716,457=0.4772179126739502,1196=0.4705360233783722,2571=0.46608448028564453,1610=0.4599838852882385,1580=0.4541638493537903,1198=0.4496505856513977,1210=0.4440975487232208
1945:923=0.4135517179965973,1104=0.38068005442619324,1084=0.37309587001800537,1103=0.3647647500038147,1228=0.36271005868911743,912=0.3614063858985901,3095=0.3587794303894043,1247=0.35225218534469604,1252=0.3519832491874695,949=0.35147523880004883
442:173=0.4293889105319977,316=0.4251106381416321,379=0.4229947328567505,780=0.4184698760509491,1917=0.4146670401096344,1831=0.40580958127975464,2808=0.4057123064994812,1676=0.40401265025138855,1527=0.4016099274158478,95=0.39819180965423584
235:2289=0.4021517336368561,3108=0.4000561833381653,608=0.3795887529850006,1265=0.3742083013057709,1394=0.3714286983013153,1080=0.37052926421165466,34=0.361162394285202,1673=0.3607451915740967,2395=0.3580634593963623,2599=0.3544084131717682
1687:1792=0.3951779007911682,1479=0.3887384533882141,1616=0.38747555017471313,1552=0.37649449706077576,95=0.37580037117004395,165=0.3677266836166382,1918=0.36596161127090454,2334=0.35900914669036865,1597=0.3581617474555969,733=0.3570612072944641
1357:36=0.3371412754058838,1183=0.3247266113758087,1094=0.3234873116016388,1393=0.32298582792282104,300=0.3223172426223755,1704=0.31493043899536133,608=0.3127535283565521,1641=0.308184415102005,337=0.30524688959121704,318=0.3034670352935791
3334:1284=0.4380514323711395,913=0.4328862130641937,3435=0.4093480110168457,930=0.3881624937057495,1252=0.36969420313835144,942=0.3592170178890228,2186=0.35863569378852844,912=0.3578926920890808,922=0.3477689027786255,1267=0.3444622755050659
1610:457=0.5625644326210022,3256=0.5082370638847351,1036=0.4983784258365631,733=0.49803611636161804,2916=0.49683260917663574,589=0.49300622940063477,377=0.49234405159950256,474=0.48729100823402405,1370=0.4827585518360138,349=0.4816528856754303
3068:1231=0.3558025658130646,1293=0.33195242285728455,1956=0.3310903012752533,1674=0.3288605809211731,2352=0.32184019684791565,1225=0.3195408284664154,2919=0.31635773181915283,3735=0.31526312232017517,1263=0.30803295969963074,1228=0.3064729869365692
1293:1225=0.4200282692909241,1231=0.39857131242752075,1957=0.39826980233192444,1674=0.376883864402771,1962=0.36963653564453125,1960=0.35153913497924805,1956=0.34661760926246643,1299=0.3442099392414093,1185=0.34249794483184814,2352=0.3399273157119751
292:1608=0.451394259929657,165=0.4472157061100006,1370=0.44087162613868713,733=0.4338168203830719,95=0.42550143599510193,1552=0.4246842861175537,3107=0.42236945033073425,736=0.42179369926452637,1385=0.4197734296321869,474=0.41900646686553955
349:3256=0.559018075466156,733=0.5154644846916199,1370=0.5005345940589905,1610=0.4816528856754303,457=0.4653409421443939,1552=0.4572465419769287,380=0.45694324374198914,1608=0.4514218270778656,377=0.45114824175834656,2353=0.44405215978622437
2628:260=0.5202308893203735,1580=0.5077970027923584,1196=0.504866898059845,1210=0.4944794178009033,2571=0.49389752745628357,480=0.48615553975105286,589=0.4726724326610565,2916=0.47215113043785095,780=0.46775853633880615,1356=0.4670450985431671
2490:2763=0.3915272653102875,1370=0.3575919270515442,2353=0.35403093695640564,733=0.3520546853542328,165=0.35174497961997986,1597=0.3479059338569641,2605=0.34357309341430664,2699=0.34321266412734985,380=0.3418704569339752,6=0.33800458908081055
3809:2302=0.3994138538837433,3253=0.37798523902893066,231=0.3651864230632782,1923=0.36122751235961914,3255=0.3598240315914154,1485=0.3587576448917389,1265=0.3584288954734802,500=0.35306331515312195,1517=0.35224562883377075,3263=0.3514874279499054
1084:1952=0.40836426615715027,923=0.40415897965431213,1252=0.3829958736896515,1247=0.3767821490764618,1945=0.37309587001800537,1953=0.3662463128566742,1276=0.3654261827468872,858=0.36009493470191956,1207=0.3561129570007324,3468=0.3545074164867401
1917:1876=0.4931264817714691,780=0.4788515865802765,1831=0.46802371740341187,316=0.46149587631225586,1544=0.4605260491371155,1552=0.45741963386535645,733=0.45421868562698364,1370=0.4492184519767761,349=0.4399678409099579,736=0.437494695186615
1552:733=0.4966302216053009,1608=0.47280800342559814,1917=0.45741963386535645,349=0.4572465121746063,1370=0.45465341210365295,165=0.4464394152164459,377=0.44056013226509094,736=0.4399794340133667,1573=0.43610623478889465,380=0.43457847833633423
3451:3363=0.3222399353981018,2870=0.31684374809265137,3296=0.3102900981903076,3035=0.3095182478427887,3507=0.30914559960365295,2352=0.30647993087768555,1103=0.3020404279232025,2779=0.30155080556869507,933=0.29388630390167236,3244=0.2935147285461426
647:161=0.35910531878471375,2268=0.344980388879776,3386=0.317586749792099,590=0.30994465947151184,2890=0.307973176240921,474=0.3033895194530487,454=0.3033287823200226,832=0.30176007747650146,2803=0.3009015917778015,349=0.29998543858528137
2194:1036=0.4916369915008545,2000=0.4782405197620392,592=0.47750020027160645,1291=0.4524141848087311,1954=0.4468073844909668,1198=0.44672027230262756,1222=0.4451265037059784,1196=0.4420987665653229,457=0.44189974665641785,1240=0.43812787532806396
3071:1962=0.3297836184501648,2420=0.32430166006088257,1246=0.3083092272281647,1302=0.30691665410995483,3526=0.30452969670295715,3478=0.297622948884964,2739=0.2956191301345825,3448=0.28753751516342163,1968=0.2852221727371216,1961=0.2829677164554596
3418:457=0.4274502992630005,1610=0.40570589900016785,593=0.40546727180480957,608=0.40041598677635193,590=0.3994053304195404,296=0.39716947078704834,21=0.390548974275589,2028=0.3900150656700134,377=0.3845592141151428,1704=0.3814909756183624
434:736=0.4150860607624054,208=0.41399693489074707,1370=0.41240304708480835,2002=0.41014382243156433,380=0.4056018590927124,165=0.4002750813961029,733=0.39115554094314575,1377=0.3888500928878784,349=0.38856786489486694,1917=0.3885568380355835
1370:165=0.5634869933128357,733=0.503109872341156,349=0.5005345940589905,457=0.4985329210758209,3256=0.49677547812461853,1036=0.49625086784362793,377=0.4924422800540924,1608=0.4880192279815674,380=0.48791319131851196,1610=0.4827585518360138
1544:480=0.493734747171402,1580=0.46097368001937866,1917=0.4605260491371155,780=0.45017629861831665,316=0.43883055448532104,1527=0.43136823177337646,589=0.4239765703678131,2628=0.4232148230075836,1831=0.4185841977596283,648=0.41823118925094604
1090:1222=0.4687628746032715,1208=0.4608464539051056,1263=0.4187053143978119,1242=0.41506657004356384,608=0.40690794587135315,2000=0.4012012481689453,1387=0.4011310636997223,1196=0.397163450717926,2194=0.3970721364021301,2028=0.39517349004745483
1244:1230=0.4804202616214752,2973=0.3939700424671173,3504=0.3872857391834259,1077=0.37046000361442566,1952=0.35867664217948914,1247=0.35785767436027527,2065=0.3562440872192383,111=0.3542134761810303,3362=0.34397390484809875,1234=0.34290364384651184
1253:1301=0.46224987506866455,2662=0.42777106165885925,2664=0.40812698006629944,924=0.4064726233482361,2529=0.37937238812446594,3471=0.3734118938446045,2527=0.3635266125202179,750=0.3627777695655823,2287=0.36134055256843567,2009=0.3457984924316406
3095:923=0.3834277391433716,1945=0.3587794303894043,1207=0.3322262167930603,1254=0.32723021507263184,1247=0.32065439224243164,919=0.3204871416091919,1250=0.3202091455459595,953=0.31811341643333435,912=0.31140196323394775,1084=0.3110869526863098
1188:265=0.31923356652259827,357=0.30808499455451965,1265=0.3074982762336731,1094=0.30702415108680725,2396=0.2964145243167877,39=0.28799939155578613,34=0.28691768646240234,17=0.2855256199836731,1641=0.2816150486469269,342=0.2761053740978241
2881:2605=0.37093815207481384,2688=0.3572738468647003,2763=0.34651651978492737,3005=0.338399738073349,2490=0.31831681728363037,2762=0.31110629439353943,2724=0.31071096658706665,2683=0.30027082562446594,3623=0.296892911195755,2002=0.29504844546318054
1196:260=0.6382222175598145,1210=0.619954526424408,1198=0.5790526866912842,1240=0.5646693110466003,1200=0.5522233247756958,1270=0.5499512553215027,2571=0.5455886721611023,589=0.5387024879455566,1291=0.5274919271469116,1097=0.5222823619842529
1408:110=0.3824455440044403,377=0.3791828453540802,1610=0.3775159418582916,3256=0.3721560537815094,457=0.37206530570983887,3107=0.36975225806236267,2006=0.3692303001880646,2028=0.3655018210411072,349=0.3599953353404999,592=0.35991382598876953
1096:3111=0.35587212443351746,2739=0.34539034962654114,1956=0.3278394043445587,2312=0.3255552053451538,2313=0.3239856958389282,2919=0.32366278767585754,1296=0.3144150674343109,1124=0.31012529134750366,1674=0.30363908410072327,1225=0.3031613230705261
1103:1945=0.3647647500038147,923=0.3519446551799774,1247=0.3448934257030487,953=0.3375316560268402,1084=0.33750179409980774,949=0.33532312512397766,1104=0.3349621593952179,908=0.3218792974948883,971=0.3204948902130127,3168=0.319896936416626
1124:1962=0.3779229521751404,1958=0.3531959056854248,1674=0.3440409302711487,2352=0.33973580598831177,1302=0.3364132046699524,1246=0.33036255836486816,3098=0.3246789872646332,2312=0.3233024775981903,3360=0.32282257080078125,2474=0.315039724111557
982:3330=0.25563034415245056,948=0.2539486289024353,926=0.23163825273513794,3447=0.2148735374212265,3379=0.21237711608409882,3011=0.21049301326274872,1929=0.20849914848804474,1103=0.2063857764005661,1932=0.20375792682170868,3549=0.20347154140472412
265:17=0.3585684299468994,58=0.3580840528011322,1094=0.35320723056793213,357=0.3345642387866974,509=0.3329646587371826,2291=0.32593467831611633,608=0.3253536820411682,1183=0.3242466151714325,1188=0.31923356652259827,2396=0.3170342445373535
2501:150=0.3404107987880707,1704=0.3005944490432739,318=0.2966610789299011,2268=0.29240795969963074,1393=0.28496599197387695,62=0.284401535987854,1682=0.2770499885082245,1784=0.2707977294921875,529=0.2701720595359802,3100=0.26617950201034546
780:316=0.5301494002342224,1580=0.5164838433265686,2571=0.5092471837997437,2916=0.499424546957016,1676=0.48908671736717224,1527=0.4880744218826294,480=0.4841213822364807,1917=0.4788516163825989,2628=0.46775853633880615,589=0.4676673412322998
1527:2916=0.5157379508018494,2571=0.507674515247345,1580=0.5021882057189941,316=0.49814572930336,780=0.4880744218826294,1356=0.4750550389289856,1676=0.4739674925804138,589=0.46458491683006287,1573=0.4614068567752838,2628=0.45844337344169617
1372:1356=0.5974814891815186,329=0.5965402126312256,2393=0.534758985042572,1376=0.5263530611991882,1375=0.5140625834465027,1374=0.49745306372642517,1373=0.48420435190200806,316=0.4647745192050934,1371=0.4544094502925873,2916=0.4543019235134125
1690:1320=0.5556209087371826,196=0.42394134402275085,1527=0.41145530343055725,316=0.40854117274284363,1214=0.3949607312679291,1200=0.39477717876434326,1676=0.3941449820995331,442=0.39010825753211975,780=0.38351935148239136,1037=0.38183555006980896
3578:3623=0.44803372025489807,2571=0.4390079975128174,3753=0.4381714165210724,3793=0.4318098723888397,2028=0.42677921056747437,2858=0.4246809780597687,2762=0.4237540662288666,110=0.41521984338760376,457=0.410465270280838,589=0.4076293408870697
1957:1225=0.4090074598789215,1293=0.39826977252960205,1231=0.3874205946922302,1185=0.3467905521392822,1956=0.3418761193752289,1674=0.340030699968338,1246=0.3376445174217224,1962=0.3356156051158905,3360=0.33144232630729675,1186=0.3273504674434662
2067:920=0.3812611699104309,1247=0.3431444764137268,912=0.3425643742084503,969=0.3407295346260071,1944=0.33330675959587097,1204=0.3217848539352417,3471=0.3157893717288971,914=0.3134080469608307,1294=0.30929428339004517,1947=0.30795449018478394
2359:1641=0.39127272367477417,1265=0.35698720812797546,357=0.3397933542728424,39=0.32287049293518066,2321=0.32200807332992554,1784=0.3192479908466339,1923=0.3187336027622223,2324=0.3111732304096222,2396=0.3094594180583954,356=0.3089328706264496
2006:733=0.4541584253311157,648=0.435706228017807,380=0.43517807126045227,10=0.43422287702560425,377=0.4227547347545624,1580=0.4066060185432434,1370=0.40070581436157227,1722=0.40045055747032166,2617=0.39948785305023193,1377=0.3978840112686157
3468:3467=0.37754756212234497,1084=0.3545074164867401,1952=0.3518104553222656,923=0.3476897180080414,1945=0.34606707096099854,1276=0.33583152294158936,1247=0.33303025364875793,1250=0.330965131521225,3196=0.32389014959335327,1252=0.32183173298835754
1225:1231=0.42112550139427185,1247=0.42013776302337646,1293=0.4200282692909241,1957=0.4090074598789215,1193=0.406218945980072,919=0.40175551176071167,608=0.4011812210083008,318=0.4009430408477783,858=0.39805933833122253,1196=0.3975681662559509
1784:356=0.44325482845306396,1265=0.43635132908821106,1393=0.4338732659816742,3255=0.4327792227268219,1923=0.43211284279823303,1704=0.42474398016929626,2321=0.42393702268600464,1641=0.4140949547290802,357=0.4028241038322449,150=0.40141263604164124
3257:95=0.3653368651866913,292=0.36414629220962524,736=0.3614306151866913,587=0.35970181226730347,1479=0.3562903106212616,1608=0.35602477192878723,3107=0.35349178314208984,1597=0.353352427482605,1370=0.3469119966030121,377=0.3462919294834137
3107:1370=0.4513774514198303,1608=0.44569897651672363,3256=0.4333665668964386,380=0.431968092918396,377=0.4251698851585388,292=0.42236945033073425,165=0.41716575622558594,648=0.40988752245903015,1610=0.4098828434944153,733=0.40835338830947876
648:380=0.4817723333835602,1580=0.47421661019325256,733=0.46784985065460205,457=0.4562704265117645,480=0.4513475298881531,1370=0.4481138586997986,1610=0.4438312351703644,349=0.4426366090774536,780=0.4423089325428009,10=0.44160929322242737
